"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","after",2,5,NA,"75",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,5,NA,"100",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,5,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,6,NA,"0",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,6,NA,"25",24,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,6,NA,"50",2,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,6,NA,"75",3,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,6,NA,"100",1,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,6,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,7,NA,"0",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,7,NA,"25",10,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,7,NA,"50",5,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,7,NA,"75",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,7,NA,"100",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,7,NA,"125",0,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,8,NA,"0",4,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,8,NA,"25",6,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,8,NA,"50",1,"6/16","small"
"ae1","2017","before","control",1.6,"0","control","after",2,8,NA,"75",0,"6/16","small"
